x_m,y_m,w_tr_right_m,w_tr_left_m,banking_rad
432.6493,-2160.5478,8.0409,6.5737,-0.0062
433.0123,-2156.5677,7.9881,6.5688,-0.0040
433.3114,-2152.5819,7.9091,6.5934,-0.0027
433.5488,-2148.5914,7.8148,6.6362,0.0000
433.7281,-2144.5972,7.7178,6.6848,0.0000
433.8533,-2140.6001,7.6252,6.7319,0.0000
433.9288,-2136.6009,7.5405,6.7744,0.0000
433.9595,-2132.6002,7.4646,6.8116,0.0000
433.9506,-2128.5986,7.3966,6.8446,0.0000
433.9082,-2124.5966,7.3343,6.8755,0.0000
433.8384,-2120.5945,7.2755,6.9069,0.0000
433.7473,-2116.5926,7.2183,6.9408,0.0000
433.6407,-2112.5910,7.1608,6.9788,0.0000
433.5235,-2108.5895,7.1020,7.0222,0.0000
433.4006,-2104.5882,7.0411,7.0717,0.0000
433.2764,-2100.5871,6.9788,7.1262,0.0000
433.1547,-2096.5862,6.9377,7.1629,0.0000
433.0386,-2092.5854,6.9322,7.1678,0.0000
432.9296,-2088.5847,6.9485,7.1517,0.0000
432.8284,-2084.5840,6.9728,7.1274,0.0000
432.7347,-2080.5832,6.9964,7.1037,0.0000
432.6478,-2076.5824,7.0151,7.0850,0.0000
432.5667,-2072.5817,7.0278,7.0722,0.0000
432.4904,-2068.5811,7.0354,7.0646,0.0000
432.4175,-2064.5804,7.0390,7.0610,0.0000
432.3466,-2060.5798,7.0403,7.0597,0.0000
432.2767,-2056.5790,7.0405,7.0595,0.0000
432.2072,-2052.5781,7.0404,7.0596,0.0000
432.1376,-2048.5772,7.0402,7.0598,0.0000
432.0681,-2044.5763,7.0401,7.0599,0.0000
431.9984,-2040.5753,7.0400,7.0600,0.0000
431.9288,-2036.5742,7.0400,7.0600,0.0000
431.8591,-2032.5729,7.0400,7.0600,0.0000
431.7894,-2028.5716,7.0400,7.0600,0.0000
431.7197,-2024.5702,7.0400,7.0600,0.0000
431.6500,-2020.5688,7.0400,7.0600,0.0000
431.5803,-2016.5674,7.0400,7.0600,0.0000
431.5105,-2012.5660,7.0400,7.0600,0.0000
431.4408,-2008.5646,7.0400,7.0600,0.0000
431.3711,-2004.5632,7.0400,7.0600,0.0000
431.3014,-2000.5618,7.0400,7.0600,0.0000
431.2317,-1996.5606,7.0400,7.0600,0.0000
431.1621,-1992.5594,7.0400,7.0600,0.0000
431.0924,-1988.5584,7.0400,7.0600,0.0000
431.0227,-1984.5575,7.0400,7.0600,0.0000
430.9530,-1980.5566,7.0400,7.0600,0.0000
430.8833,-1976.5558,7.0400,7.0600,0.0000
430.8136,-1972.5551,7.0400,7.0600,0.0000
430.7439,-1968.5544,7.0400,7.0600,0.0000
430.6742,-1964.5537,7.0400,7.0600,0.0000
430.6045,-1960.5528,7.0400,7.0600,0.0000
430.5348,-1956.5518,7.0400,7.0600,0.0000
430.4651,-1952.5506,7.0400,7.0600,0.0000
430.3954,-1948.5490,7.0400,7.0600,0.0000
430.3257,-1944.5472,7.0400,7.0600,0.0000
430.2560,-1940.5450,7.0400,7.0600,0.0000
430.1863,-1936.5424,7.0400,7.0600,0.0000
430.1166,-1932.5394,7.0400,7.0600,0.0000
430.0468,-1928.5361,7.0400,7.0600,0.0000
429.9771,-1924.5325,7.0400,7.0600,0.0000
429.9073,-1920.5287,7.0400,7.0600,0.0000
429.8376,-1916.5247,7.0400,7.0600,0.0000
429.7679,-1912.5205,7.0400,7.0600,0.0000
429.6981,-1908.5162,7.0400,7.0600,0.0000
429.6283,-1904.5118,7.0400,7.0600,0.0000
429.5586,-1900.5074,7.0400,7.0600,0.0000
429.4888,-1896.5030,7.0400,7.0600,0.0000
429.4191,-1892.4987,7.0400,7.0600,0.0000
429.3493,-1888.4943,7.0400,7.0600,0.0000
429.2796,-1884.4899,7.0400,7.0600,0.0000
429.2098,-1880.4855,7.0400,7.0600,0.0000
429.1401,-1876.4811,7.0400,7.0600,0.0000
429.0703,-1872.4767,7.0400,7.0600,0.0000
429.0006,-1868.4723,7.0400,7.0600,0.0000
428.9308,-1864.4679,7.0400,7.0600,0.0000
428.8611,-1860.4635,7.0400,7.0600,0.0000
428.7913,-1856.4591,7.0400,7.0600,0.0000
428.7216,-1852.4548,7.0400,7.0600,0.0000
428.6518,-1848.4504,7.0400,7.0600,0.0000
428.5821,-1844.4460,7.0400,7.0600,0.0000
428.5123,-1840.4416,7.0400,7.0600,0.0000
428.4426,-1836.4372,7.0400,7.0600,0.0000
428.3728,-1832.4328,7.0400,7.0600,0.0000
428.3030,-1828.4284,7.0400,7.0600,0.0000
428.2333,-1824.4240,7.0400,7.0600,0.0000
428.1635,-1820.4196,7.0400,7.0600,0.0000
428.0938,-1816.4152,7.0400,7.0600,0.0000
428.0240,-1812.4109,7.0400,7.0600,0.0000
427.9543,-1808.4065,7.0400,7.0600,0.0000
427.8845,-1804.4021,7.0400,7.0600,0.0000
427.8148,-1800.3977,7.0400,7.0600,0.0000
427.7450,-1796.3933,7.0400,7.0600,0.0000
427.6753,-1792.3889,7.0400,7.0600,0.0000
427.6055,-1788.3845,7.0400,7.0600,0.0000
427.5358,-1784.3801,7.0400,7.0600,0.0000
427.4660,-1780.3757,7.0400,7.0600,0.0000
427.3963,-1776.3713,7.0400,7.0600,0.0000
427.3265,-1772.3669,7.0400,7.0600,0.0000
427.2568,-1768.3626,7.0400,7.0600,0.0000
427.1870,-1764.3582,7.0400,7.0600,0.0000
427.1172,-1760.3538,7.0400,7.0600,0.0000
427.0475,-1756.3494,7.0400,7.0600,0.0000
426.9777,-1752.3450,7.0400,7.0600,0.0000
